id,name,value,type,group,published,ordering
1,Difficoltà,"[{""name"":""Molto Facile"",""value"":2,""target"":null,""alias"":""difficolta"",""required"":0,""showNull"":0},{""name"":""Facile"",""value"":3,""target"":null,""alias"":""difficolta"",""required"":0,""showNull"":0},{""name"":""Medio"",""value"":4,""target"":null,""alias"":""difficolta"",""required"":0,""showNull"":0},{""name"":""Impegnativo"",""value"":5,""target"":null,""alias"":""difficolta"",""required"":0,""showNull"":0},{""name"":""Molto Impegnativo"",""value"":6,""target"":null,""alias"":""difficolta"",""required"":0,""showNull"":0}]",select,1,1,4
2,Lunghezza,"[{""name"":null,""value"":""Inserisci la lunghezza in km"",""target"":null,""alias"":"""",""required"":0,""showNull"":0}]",textfield,1,1,8
3,Durata-1,"[{""name"":""Pedala e fuggi (2-4h)"",""value"":""1"",""target"":null,""alias"":""durata"",""required"":0,""showNull"":0},{""name"":""Biker della domenica (5-8h)"",""value"":""2"",""target"":null,""alias"":""durata"",""required"":0,""showNull"":0},{""name"":""Oltre la notte (2 giorni)"",""value"":""3"",""target"":null,""alias"":""durata"",""required"":0,""showNull"":0},{""name"":""Esploratore (>2 giorni)"",""value"":""4"",""target"":null,""alias"":""durata"",""required"":0,""showNull"":0}]",select,1,1,5
4,Dislivello,"[{""name"":""Capretta (0 - 500 m)"",""value"":""dislivello positivo in m"",""target"":null,""alias"":""dislivello"",""required"":0,""showNull"":0},{""name"":""Capriolo (501 - 1000 m)"",""value"":""1"",""target"":null,""alias"":""dislivello"",""required"":0,""showNull"":0},{""name"":""Camoscio (1001 - 1500 m)"",""value"":""2"",""target"":null,""alias"":""dislivello"",""required"":0,""showNull"":0},{""name"":""Stambecco (1501 - 2000 m)"",""value"":""3"",""target"":null,""alias"":""dislivello"",""required"":0,""showNull"":0},{""name"":"" Aquila (2001 e oltre)"",""value"":""4"",""target"":null,""alias"":""dislivello"",""required"":0,""showNull"":0}]",select,1,1,6
11,Titolo,"[{""name"":"""",""value"":"""",""target"":""new"",""alias"":"""",""required"":0,""showNull"":0}]",link,5,1,1
12,Autore,"[{""name"":null,""value"":""Shutterstock"",""target"":null,""alias"":"""",""required"":1,""showNull"":0}]",textfield,5,1,2
13,Durata,"[{""name"":""Fuggitivo (1 giorno)"",""value"":""1"",""target"":null,""alias"":""Durata"",""required"":0,""showNull"":1},{""name"":""Weekender (2-3 giorni)"",""value"":""2"",""target"":null,""alias"":""Durata"",""required"":0,""showNull"":1},{""name"":""Cicloturista (4-7 giorni)"",""value"":""3"",""target"":null,""alias"":""Durata"",""required"":0,""showNull"":1},{""name"":""Cicloviaggiatore (8-15 giorni)"",""value"":""4"",""target"":null,""alias"":""Durata"",""required"":0,""showNull"":1},{""name"":""Esploratore (16-30 giorni)"",""value"":""5"",""target"":null,""alias"":""Durata"",""required"":0,""showNull"":1},{""name"":""Giramondo (31 giorni +)"",""value"":""6"",""target"":null,""alias"":""Durata"",""required"":0,""showNull"":1}]",select,6,1,3
14,Stagione,"[{""name"":""Primavera"",""value"":""2"",""target"":null,""alias"":""QuandoAndare"",""required"":0,""showNull"":0},{""name"":""Estate"",""value"":""3"",""target"":null,""alias"":""QuandoAndare"",""required"":0,""showNull"":0},{""name"":""Autunno"",""value"":""4"",""target"":null,""alias"":""QuandoAndare"",""required"":0,""showNull"":0},{""name"":""Inverno"",""value"":""5"",""target"":null,""alias"":""QuandoAndare"",""required"":0,""showNull"":0}]",multipleSelect,1,1,7
15,Posizione,"[{""name"":null,""value"":"""",""target"":null,""alias"":""posizione"",""required"":0,""showNull"":0}]",textfield,1,"0",3
17,Regione,"[{""name"":""Abruzzo"",""value"":""2"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Alto Adige"",""value"":""3"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Basilicata"",""value"":""4"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Calabria"",""value"":""5"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Campania"",""value"":""6"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Emilia Romagna"",""value"":""7"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Friuli Venezia Giulia"",""value"":""8"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Lazio"",""value"":""9"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Liguria"",""value"":""10"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Lombardia"",""value"":""11"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Marche"",""value"":""12"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Molise"",""value"":""13"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Piemonte"",""value"":""14"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Puglia"",""value"":""15"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Sardegna"",""value"":""16"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Sicilia"",""value"":""17"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Toscana"",""value"":""18"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Trentino"",""value"":""19"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Umbria"",""value"":""20"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Valle d'Aosta"",""value"":""21"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Veneto"",""value"":""22"",""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Australia"",""value"":23,""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Austria"",""value"":24,""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Francia"",""value"":25,""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Repubblica Ceca"",""value"":26,""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Spagna"",""value"":27,""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0},{""name"":""Svizzera"",""value"":28,""target"":null,""alias"":""Regione"",""required"":0,""showNull"":0}]",multipleSelect,1,1,2
