27,English (United States),en-US,2013-12-25 10:16:50,1,"[""chaimk"",""imarklee"",""Apson""]",11,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/27"",""md5"":""ab96ec9ab2851343f3c63ea8b29cf10e""}"
35,Danish (Denmark),da-DK,2013-12-25 10:16:50,"0","[""Battleroar"",""stackideas"",""imarklee"",""Apson""]",60,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/1"",""md5"":""709df65cd01ec48c53d1ef5c9548030f""}"
36,French (France),fr-FR,2013-12-25 10:16:50,"0","[""imarklee"",""Apson""]",99,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/2"",""md5"":""17b82db8e92854d43a0778b335fc0e7e""}"
37,German (Germany),de-DE,2013-12-25 10:16:50,"0","[""joomlaplay""]",100,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/3"",""md5"":""777b21504a3a88dbb2b4e34681711866""}"
38,Bulgarian (Bulgaria),bg-BG,2013-12-25 10:16:50,"0","[""sslavkov"",""imarklee""]",31,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/4"",""md5"":""9f0c5cd2d5d9c2ce8a8196097109863f""}"
39,Spanish,es,2013-10-02 17:11:44,"0","[""Hertak"",""mrvallejo""]",57,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/5"",""md5"":""f54a694166b68a003f48a460a0e99d56""}"
40,Swedish (Sweden),sv-SE,2013-12-25 10:16:50,"0","[""sweup""]",76,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/6"",""md5"":""d836c0653d17b510048d091ee30ca3ad""}"
41,Portuguese (Brazil),pt-BR,2013-12-25 10:16:50,"0","[""imarklee"",""Apson""]",50,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/7"",""md5"":""95bd31d27115763af5347ce31ad60d8f""}"
42,Thai,th,2013-10-09 13:56:11,"0","[""drlovecat"",""Apson"",""Wyatt""]",4,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/8"",""md5"":""249c2a09a31ea56c8b99f2303d8a8846""}"
43,Spanish (Spain),es-ES,2013-12-25 10:16:50,"0","[""mrvallejo""]",100,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/9"",""md5"":""6502bb059f6cc284b35937d2861e4676""}"
