1,Feeling,feeling,How are you feeling?,,fa fa-smile-o,1,1,1,"{""suggestions"":[{""suggestion"":""happy"",""emote"":""1""},{""suggestion"":""blessed"",""emote"":""56""},{""suggestion"":""loved"",""emote"":""3""},{""suggestion"":""sad"",""emote"":""23""},{""suggestion"":""thankful"",""emote"":""17""},{""suggestion"":""excited"",""emote"":""4""},{""suggestion"":""worried"",""emote"":""22""},{""suggestion"":""confused"",""emote"":""27""},{""suggestion"":""disappointed"",""emote"":""35""},{""suggestion"":""scared"",""emote"":""44""},{""suggestion"":""angry"",""emote"":""46""},{""suggestion"":""confident"",""emote"":""6""},{""suggestion"":""cool"",""emote"":""52""},{""suggestion"":""tired"",""emote"":""21""},{""suggestion"":""annoyed"",""emote"":""47""},{""suggestion"":""embarassed"",""emote"":""10""},{""suggestion"":""relieved"",""emote"":""11""},{""suggestion"":""silly"",""emote"":""15""},{""suggestion"":""shocked"",""emote"":""25""},{""suggestion"":""unamused"",""emote"":""30""},{""suggestion"":""frustrated"",""emote"":""36""},{""suggestion"":""meh"",""emote"":""54""}]}"
2,Watching,watching,What are you watching?,,fa fa-ticket,1,1,2,
3,Reading,reading,What are you reading?,,fa fa-book,1,1,3,
4,Listening To,listening to,What are you listening to?,,fa fa-headphones,1,1,4,
5,Drinking,drinking,What are you drinking?,,fa fa-coffee,1,1,5,"{""suggestions"":[{""suggestion"":""coffee"",""emote"":""58""},{""suggestion"":""beer"",""emote"":""57""},{""suggestion"":""tea"",""emote"":""58""}]}"
6,Eating,eating,What are you eating?,,fa fa-cutlery,1,1,6,"{""suggestions"":[{""suggestion"":""lunch"",""emote"":""61""},{""suggestion"":""dinner"",""emote"":""61""},{""suggestion"":""breakfast"",""emote"":""61""}]}"
7,Playing,playing,What are you playing?,,fa fa-gamepad,1,1,7,
8,Traveling To,traveling to,Where are you going?,,fa fa-plane,1,1,8,
9,Looking For,looking for,What are you looking for?,,fa fa-search,1,1,9,
10,Celebrating,celebrating,What are you celebrating?,,fa fa-birthday-cake,1,1,10,"{""suggestions"":[{""suggestion"":""a birthday"",""emote"":""62""},{""suggestion"":""my birthday"",""emote"":""62""},{""suggestion"":""an anniversary"",""emote"":""59""},{""suggestion"":""my anniversary"",""emote"":""63""},{""suggestion"":""an engagement"",""emote"":""59""},{""suggestion"":""my engagement"",""emote"":""63""},{""suggestion"":""a wedding"",""emote"":""59""},{""suggestion"":""my wedding"",""emote"":""63""},{""suggestion"":""life"",""emote"":""83""},{""suggestion"":""love"",""emote"":""7""},{""suggestion"":""graduation"",""emote"":""59""},{""suggestion"":""the holidays"",""emote"":""81""},{""suggestion"":""victory"",""emote"":""89""},{""suggestion"":""food"",""emote"":""61""}]}"
