id,tagID,itemID
2303,636,1492
2304,673,1492
2305,674,1492
2306,6,1493
2307,392,1493
2308,675,1493
2309,6,1494
2310,392,1494
2311,676,1494
4518,1209,2015
4519,1210,2015
4520,1211,2015
4521,1212,2015
4522,248,2015
4528,1216,2033
4529,1217,2044
4530,1218,2044
4531,306,2044
4532,1219,2044
4533,1220,2044
4534,1216,2045
4535,1217,2045
4536,306,2045
4537,1154,2045
4538,819,2045
4539,1221,2046
4540,312,2046
4541,1222,2046
4542,1212,2046
4543,1223,2046
4554,1227,2049
4555,1228,2049
4556,1211,2049
4557,838,2049
4558,1206,2049
4559,205,2049
6567,1,2599
6568,266,2599
6569,268,2599
10521,331,2209
10522,351,2209
10523,334,2209
10524,70,2209
10525,930,2209
10526,655,2209
10527,225,2209
10528,932,2209
10619,1,1750
10620,203,1750
10621,102,1750
10622,28,1750
10623,184,1750
10624,204,1750
10625,178,1750
10626,1754,1750
10627,70,1750
10644,1591,1956
10645,950,1956
10646,1592,1956
10647,656,1956
10648,70,1956
10649,1758,1956
10650,1759,1956
11414,1,1753
11415,158,1753
11416,208,1753
11417,178,1753
11418,209,1753
11419,28,1753
11420,70,1753
11421,1790,1753
11422,1791,1753
11478,1,1951
11479,622,1951
11480,625,1951
11481,626,1951
11482,1792,1951
11483,70,1951
11565,6,1955
11566,1,1955
11567,656,1955
11568,653,1955
11569,655,1955
12563,325,2497
12564,1816,2497
12565,111,2497
12574,420,1961
12575,325,1961
12576,70,1961
12662,967,1759
12663,70,1759
12664,1820,1759
12665,28,1759
12666,160,1759
12711,70,1953
12712,656,1953
12760,70,1950
12761,622,1950
12762,625,1950
13970,1586,2451
13971,1877,2451
13972,1878,2451
14638,1586,2438
14639,1495,2438
14640,302,2438
14653,1452,2287
14654,1429,2287
14655,260,2287
14656,1453,2287
15052,1586,2434
15053,1916,2434
15054,1917,2434
15272,1923,2439
15273,1513,2439
15274,70,2439
15427,1513,2442
15428,1849,2442
15429,264,2442
15726,1199,2007
15727,312,2007
15728,1200,2007
15729,27,2007
15809,29,2005
15810,27,2005
15811,24,2005
15812,1177,2005
15908,265,2003
15909,1191,2003
15910,831,2003
15911,24,2003
15912,180,2003
15942,260,2002
15943,24,2002
15944,549,2002
15945,636,2002
15986,29,2009
15987,1177,2009
15988,180,2009
